0	:invoke	:broadcast	0
:nemesis	:info	:start-partition	:majorities-ring
0	:ok	:broadcast	0
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n2" "n1"}, "n3" #{"n2" "n4"}, "n1" #{"n4" "n0"}, "n2" #{"n0" "n3"}, "n4" #{"n1" "n3"}}]
2	:invoke	:read	nil
2	:ok	:read	[0]
3	:invoke	:broadcast	1
3	:ok	:broadcast	1
4	:invoke	:read	nil
4	:ok	:read	[0]
0	:invoke	:broadcast	2
0	:ok	:broadcast	2
0	:invoke	:broadcast	3
0	:ok	:broadcast	3
1	:invoke	:broadcast	4
1	:ok	:broadcast	4
2	:invoke	:read	nil
2	:ok	:read	[0 4]
3	:invoke	:broadcast	5
3	:ok	:broadcast	5
4	:invoke	:broadcast	6
4	:ok	:broadcast	6
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5]
1	:invoke	:broadcast	7
1	:ok	:broadcast	7
2	:invoke	:read	nil
2	:ok	:read	[0 4 7]
3	:invoke	:read	nil
3	:ok	:read	[0 1 1 2 3 5 5]
4	:invoke	:read	nil
4	:ok	:read	[0 6]
0	:invoke	:broadcast	8
0	:ok	:broadcast	8
0	:invoke	:broadcast	9
0	:ok	:broadcast	9
1	:invoke	:read	nil
1	:ok	:read	[0 4 4 7 7]
2	:invoke	:read	nil
2	:ok	:read	[0 4 7]
3	:invoke	:read	nil
3	:ok	:read	[0 1 1 2 3 5 5 8 9]
4	:invoke	:read	nil
4	:ok	:read	[0 6]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9]
1	:invoke	:broadcast	10
1	:ok	:broadcast	10
2	:invoke	:read	nil
2	:ok	:read	[0 4 7 10]
3	:invoke	:read	nil
3	:ok	:read	[0 1 1 2 3 5 5 8 9]
4	:invoke	:read	nil
4	:ok	:read	[0 6]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9]
1	:invoke	:broadcast	11
1	:ok	:broadcast	11
2	:invoke	:read	nil
2	:ok	:read	[0 4 7 10 11]
3	:invoke	:broadcast	12
3	:ok	:broadcast	12
4	:invoke	:read	nil
4	:ok	:read	[0 6]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12]
1	:invoke	:broadcast	13
1	:ok	:broadcast	13
2	:invoke	:read	nil
2	:ok	:read	[0 4 7 10 11 13]
3	:invoke	:broadcast	14
3	:ok	:broadcast	14
4	:invoke	:broadcast	15
4	:ok	:broadcast	15
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12 14]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12 14]
1	:invoke	:broadcast	16
1	:ok	:broadcast	16
2	:invoke	:broadcast	17
2	:ok	:broadcast	17
3	:invoke	:read	nil
3	:ok	:read	[0 1 1 2 3 5 5 8 9 12 12 14 14]
4	:invoke	:read	nil
4	:ok	:read	[0 6 15]
0	:invoke	:broadcast	18
0	:ok	:broadcast	18
0	:invoke	:broadcast	19
0	:ok	:broadcast	19
1	:invoke	:broadcast	20
1	:ok	:broadcast	20
2	:invoke	:read	nil
2	:ok	:read	[0 4 7 10 11 13 16 17 17 20]
3	:invoke	:read	nil
3	:ok	:read	[0 1 1 2 3 5 5 8 9 12 12 14 14 18 19]
4	:invoke	:read	nil
4	:ok	:read	[0 6 15]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12 14 18 18 19 19]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12 14 18 18 19 19]
1	:invoke	:read	nil
1	:ok	:read	[0 4 4 7 7 10 10 11 11 13 13 16 16 17 20 20]
2	:invoke	:read	nil
2	:ok	:read	[0 4 7 10 11 13 16 17 17 20]
3	:invoke	:read	nil
3	:ok	:read	[0 1 1 2 3 5 5 8 9 12 12 14 14 18 19]
4	:invoke	:broadcast	21
4	:ok	:broadcast	21
0	:invoke	:broadcast	22
0	:ok	:broadcast	22
0	:invoke	:broadcast	23
0	:ok	:broadcast	23
1	:invoke	:read	nil
1	:ok	:read	[0 4 4 7 7 10 10 11 11 13 13 16 16 17 20 20]
2	:invoke	:read	nil
2	:ok	:read	[0 4 7 10 11 13 16 17 17 20]
3	:invoke	:broadcast	24
3	:ok	:broadcast	24
4	:invoke	:read	nil
4	:ok	:read	[0 6 15 21]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12 14 18 18 19 19 22 22 23 23 24]
0	:invoke	:broadcast	25
0	:ok	:broadcast	25
1	:invoke	:broadcast	26
1	:ok	:broadcast	26
2	:invoke	:read	nil
2	:ok	:read	[0 4 7 10 11 13 16 17 17 20 26]
3	:invoke	:read	nil
3	:ok	:read	[0 1 1 2 3 5 5 8 9 12 12 14 14 18 19 22 23 24 24 25]
4	:invoke	:broadcast	27
4	:ok	:broadcast	27
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12 14 18 18 19 19 22 22 23 23 24 25 25]
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12 14 18 18 19 19 22 22 23 23 24 25 25]
1	:invoke	:broadcast	28
1	:ok	:broadcast	28
2	:invoke	:read	nil
2	:ok	:read	[0 4 7 10 11 13 16 17 17 20 26 28]
3	:invoke	:broadcast	29
3	:ok	:broadcast	29
4	:invoke	:broadcast	30
4	:ok	:broadcast	30
0	:invoke	:broadcast	31
0	:ok	:broadcast	31
0	:invoke	:broadcast	32
0	:ok	:broadcast	32
1	:invoke	:broadcast	33
1	:ok	:broadcast	33
2	:invoke	:broadcast	34
2	:ok	:broadcast	34
3	:invoke	:read	nil
3	:ok	:read	[0 1 1 2 3 5 5 8 9 12 12 14 14 18 19 22 23 24 24 25 29 29 31 32]
4	:invoke	:broadcast	35
4	:ok	:broadcast	35
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12 14 18 18 19 19 22 22 23 23 24 25 25 29 31 31 32 32]
0	:invoke	:broadcast	36
0	:ok	:broadcast	36
1	:invoke	:read	nil
1	:ok	:read	[0 4 4 7 7 10 10 11 11 13 13 16 16 17 20 20 26 26 28 28 33 33 34]
2	:invoke	:read	nil
2	:ok	:read	[0 4 7 10 11 13 16 17 17 20 26 28 33 34 34]
3	:invoke	:broadcast	37
3	:ok	:broadcast	37
4	:invoke	:broadcast	38
4	:ok	:broadcast	38
0	:invoke	:broadcast	39
0	:ok	:broadcast	39
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12 14 18 18 19 19 22 22 23 23 24 25 25 29 31 31 32 32 36 36 37 39 39]
1	:invoke	:broadcast	40
1	:ok	:broadcast	40
2	:invoke	:broadcast	41
2	:ok	:broadcast	41
3	:invoke	:read	nil
3	:ok	:read	[0 1 1 2 3 5 5 8 9 12 12 14 14 18 19 22 23 24 24 25 29 29 31 32 36 37 37 39]
4	:invoke	:broadcast	42
4	:ok	:broadcast	42
0	:invoke	:read	nil
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12 14 18 18 19 19 22 22 23 23 24 25 25 29 31 31 32 32 36 36 37 39 39]
0	:invoke	:read	nil
1	:invoke	:broadcast	43
1	:ok	:broadcast	43
0	:ok	:read	[0 0 1 2 2 3 3 5 8 8 9 9 12 14 18 18 19 19 22 22 23 23 24 25 25 29 31 31 32 32 36 36 37 39 39]
2	:invoke	:read	nil
2	:ok	:read	[0 4 7 10 11 13 16 17 17 20 26 28 33 34 34 40 41 41 43]
3	:invoke	:read	nil
3	:ok	:read	[0 1 1 2 3 5 5 8 9 12 12 14 14 18 19 22 23 24 24 25 29 29 31 32 36 37 37 39]
